Feature						SC01	SC02	SC03	SC04	SC05	SC06	SC07	SC08	SC09
AddItemsToShoppingCart		5		0		0		0		0		0		0		0		0
ProceedToCheckout			0		7		0		0		0		0		0		0		0
Register					0		0		0		4		0		0		0		0		0
RegisterToBrowse			0		0		0		0		0		2		0		0		0
RegisterQuickCheckout		0		0		0		0		0		0		0		0		3
ExtendedCheckoutWorkflow	0		0		0		0		0		0		0		3		0
QuickCheckout				0		0		5		0		0		0		0		0		0
ShippingMethod				0		1		0		0		0		0		0		0		0
WhishList					0		0		0		0		2		0		0		0		0
AutoReserveItems			0		0		0		0		0		0		2		0		0
