Features						SC01	SC02	SC03	SC04	SC05	SC06	SC07	SC08	SC09	SC10	SC11	SC12	SC13	SC14	SC15	SC16	SC17	SC18	SC19	SC20	SC21	
CreateAndSendMessage			7		2		4		0		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CreateAndSaveMessage			0		0		0		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
ReceiveAndDisplayMessage		0		0		0		0		0		3		1		1		0		0		2		2		0		0		0		0		0		0		0		0		0
Forward							0		0		0		0		0		0		0		0		2		3		0		0		0		0		0		0		2		3		0		0		0
SelectForDisplaying				0		0		0		0		0		0		0		0		0		0		0		0		5		1		0		0		0		0		0		0		0
DeleteExistingMessage			0		0		0		0		0		0		0		0		0		0		0		0		0		0		2		0		0		0		0		0		0
Move							0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		2		0		0		0		0		0
CompositionMode					0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		4	
RestrictedMode					0		0		1		0		0		0		0		0		0		1		0		0		0		0		0		0		0		1		0		0		0
WarningModel					0		0		1		0		0		0		0		0		0		1		0		0		0		0		0		0		0		1		0		0		0
SDOStore						0		0		0		0		0		0		0		0		0		0		2		0		0		0		0		0		0		0		2		0		0
SDOSendemail					0		0		0		0		0		0		0		0		0		0		0		2		0		0		0		0		0		0		0		2		0	
StorageSize 					1		0		0		0		1		1		1		0		0		0		0		0		0		0		0		0		0		0		0		0		0
ContentType						0		1		1		0		0		0		0		1		0		0		0		0		0		1		0		0		0		0		0		0		0
