Replicacao	Aluno		Dominio	Tecnica	Resposta
1		1		eCommerce	PLUSS		55
1		1		cyber		SVCM		83
1		2		eCommerce	PLUSS		50
1		2		cyber		SVCM		55
2		1		eCommerce	PLUSS		71
2		1		cyber		SVCM		97
2		2		eCommerce	PLUSS		80
2		2		cyber		SVCM		130
3		1		eCommerce	PLUSS		60
3		1		cyber		SVCM		76
3		2		eCommerce	PLUSS		82
3		2		cyber		SVCM		57
4		1		eCommerce	SVCM		61
4		1		cyber		PLUSS		46
4		2		eCommerce	SVCM		69
4		2		cyber		PLUSS		40
5		1		eCommerce	SVCM		55
5		1		cyber		PLUSS		40
5		2		eCommerce	SVCM		70
5		2		cyber		PLUSS		60
6		1		eCommerce	SVCM		63
6		1		cyber		PLUSS		42
6		2		eCommerce	SVCM		60
6		2		cyber		PLUSS		60
