Feature							SC01	SC02	SC03	SC04	SC05	SC06	SC07	SC08	SC09
SubmitAPaper					6		0		0		0		0		0		0		0		0	
OffLineSubmission				0		5		0		0		0		0		0		0		0
AssignPapersToReviewers			0		0		0		0		0		3		0		0		0
PreferenceBasedPD				0		0		0		0		0		0		4		0		0
InferenceBasedPD				0		0		0		0		0		0		0		3		0
AutoConflictDetection			0		0		0		0		0		0		0		0		4
AutoValidation					0		0		0		0		4		0		0		0		0
FileType						1		0		0		0		0		0		0		0		0
AbstractOF						0		0		3		0		0		0		0		0		0
ConflictsOfInterestOF			0		0		0		2		0		0		0		0		0
