Features					SC01	SC02	SC03	SC04	SC05	SC06	SC07	SC08	SC09	SC10	SC11	SC12	SC13	SC14	SC15	SC16	SC17	SC18	SC19	
CreateSendMessage			7		2		0		2		0		0		0		0		0		0		0		0		0		1		2		0		0		0		0
CreateSaveMessage			0		0		2		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	
ReceiveDisplayMessage		0		0		0		0		3		1		1		0		0		0		0		0		0		0		0		0		0		0		0
Forward						0		0		0		0		0		0		0		0		0		0		0		3		0		0		0		1		2		0		0
SelectDisplaying			0		0		0		0		0		0		0		5		1		0		0		0		0		0		0		0		0		0		0
DeleteExistingMessage		0		0		0		0		0		0		0		0		0		2		0		0		0		0		0		0		0		0		0
Move						0		0		0		0		0		0		0		0		0		0		2		0		0		0		0		0		0		0		0
CompositionMode				0		0		0		0		0		0		0		0		0		0		0		0		4		0		0		0		0		0		0
RestrictedMode				0		0		0		0		0		0		0		0		0		0		0		0		0		1		0		1		0		0		0
WarningMode					0		0		0		0		0		0		0		0		0		0		0		0		0		0		2		0		2		0		0
SDOStore					0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		2		0	
SDOSendEmail				0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		2
StorageSize 				1		0		0		1		1		0		1		0		0		0		0		0		0		0		0		0		0		0		0
ContentType					0		1		0		0		0		1		0		0		1		0		0		0		0		0		0		0		0		0		0
