Feature 							nUseCase	nScenario
FingerPrint							2			2
Password							2			2
HomeState							1			2
RegisterInhabitant					1			2
DefineTheHomeState					1			1
DefinePoliciesForHomeState			1			1
DefineRightsforInhabitants			1			1
SecondsToClose						1			3
AttepmtsToBlock						1			1
RequestAccessToHome					1			2
GuestRequestAccessToHome			1			2
ConfigureAccessToSpecificEnv		1			2
IntrusionDetection					1			1
CallThePoliceDepartment				2			3		
LockBedrooms						1			1
TurnOnExternalAndInternalLights		2			3
PresenceDetection					1			1
FireDetection						1			1
CallTheFireGuardDepartment			1			1
UnlockAllDoorsAndWindows			1			1
FireControlSystem					1			1		
