Feature						UC01	UC02	UC3	UC04	UC05	UC06
FingerPrint       				3	6	0	0	0	0	
Password       					2	3	0	0	0	0	
HomeState       					2	0	0	0	0	0	
RegisterInhabitant     				8	0	0	0	0	0	
DefineTheHomeState     				3	0	0	0	0	0	
DefinePoliciesForHomeState   			4	0	0	0	0	0	
DefineRightsforInhabitants   			4	0	0	0	0	0	
SecondsToClose      				0	2	0	0	0	0	
AttepmtsToBlock      				0	1	0	0	0	0	
RequestAccessToHome     			0	16	0	0	0	0	
GuestRequestAccessToHome   			0	6	0	0	0	0	
ConfigureAccessToSpecificEnv  		0	0	6	2	0	0	
IntrusionDetection     				0	0	0	2	0	0	
LockBedrooms      				0	0	0	1	0	0	
TurnOnExternalAndInternalLights  		0	0	0	1	0	0	
PresenceDetection     				0	0	0	0	2	0	
FireDetection      				0	0	0	0	0	3	
FireControlSystem   				0	0	0	0	0	1
